sv
train
.\data\CurveVelA\seismic1.npy .\data\CurveVelA\vmodel1.npy
.\data\CurveVelA\seismic2.npy .\data\CurveVelA\vmodel2.npy
.\data\CurveVelA\seismic3.npy .\data\CurveVelA\vmodel3.npy
.\data\CurveVelA\seismic4.npy .\data\CurveVelA\vmodel4.npy
.\data\CurveVelA\seismic5.npy .\data\CurveVelA\vmodel5.npy
.\data\CurveVelA\seismic6.npy .\data\CurveVelA\vmodel6.npy
.\data\CurveVelA\seismic7.npy .\data\CurveVelA\vmodel7.npy
.\data\CurveVelA\seismic8.npy .\data\CurveVelA\vmodel8.npy
.\data\CurveVelA\seismic9.npy .\data\CurveVelA\vmodel9.npy
.\data\CurveVelA\seismic10.npy .\data\CurveVelA\vmodel10.npy
.\data\CurveVelA\seismic11.npy .\data\CurveVelA\vmodel11.npy
.\data\CurveVelA\seismic12.npy .\data\CurveVelA\vmodel12.npy
.\data\CurveVelA\seismic13.npy .\data\CurveVelA\vmodel13.npy
.\data\CurveVelA\seismic14.npy .\data\CurveVelA\vmodel14.npy
.\data\CurveVelA\seismic15.npy .\data\CurveVelA\vmodel15.npy
.\data\CurveVelA\seismic16.npy .\data\CurveVelA\vmodel16.npy
.\data\CurveVelA\seismic17.npy .\data\CurveVelA\vmodel17.npy
.\data\CurveVelA\seismic18.npy .\data\CurveVelA\vmodel18.npy
.\data\CurveVelA\seismic19.npy .\data\CurveVelA\vmodel19.npy
.\data\CurveVelA\seismic20.npy .\data\CurveVelA\vmodel20.npy
.\data\CurveVelA\seismic21.npy .\data\CurveVelA\vmodel21.npy
.\data\CurveVelA\seismic22.npy .\data\CurveVelA\vmodel22.npy
.\data\CurveVelA\seismic23.npy .\data\CurveVelA\vmodel23.npy
.\data\CurveVelA\seismic24.npy .\data\CurveVelA\vmodel24.npy
.\data\CurveVelA\seismic25.npy .\data\CurveVelA\vmodel25.npy
.\data\CurveVelA\seismic26.npy .\data\CurveVelA\vmodel26.npy
.\data\CurveVelA\seismic27.npy .\data\CurveVelA\vmodel27.npy
.\data\CurveVelA\seismic28.npy .\data\CurveVelA\vmodel28.npy
.\data\CurveVelA\seismic29.npy .\data\CurveVelA\vmodel29.npy
.\data\CurveVelA\seismic30.npy .\data\CurveVelA\vmodel30.npy
.\data\CurveVelA\seismic31.npy .\data\CurveVelA\vmodel31.npy
.\data\CurveVelA\seismic32.npy .\data\CurveVelA\vmodel32.npy
.\data\CurveVelA\seismic33.npy .\data\CurveVelA\vmodel33.npy
.\data\CurveVelA\seismic34.npy .\data\CurveVelA\vmodel34.npy
.\data\CurveVelA\seismic35.npy .\data\CurveVelA\vmodel35.npy
.\data\CurveVelA\seismic36.npy .\data\CurveVelA\vmodel36.npy
.\data\CurveVelA\seismic37.npy .\data\CurveVelA\vmodel37.npy
.\data\CurveVelA\seismic38.npy .\data\CurveVelA\vmodel38.npy
.\data\CurveVelA\seismic39.npy .\data\CurveVelA\vmodel39.npy
.\data\CurveVelA\seismic40.npy .\data\CurveVelA\vmodel40.npy
.\data\CurveVelA\seismic41.npy .\data\CurveVelA\vmodel41.npy
.\data\CurveVelA\seismic42.npy .\data\CurveVelA\vmodel42.npy
.\data\CurveVelA\seismic43.npy .\data\CurveVelA\vmodel43.npy
.\data\CurveVelA\seismic44.npy .\data\CurveVelA\vmodel44.npy
.\data\CurveVelA\seismic45.npy .\data\CurveVelA\vmodel45.npy
.\data\CurveVelA\seismic46.npy .\data\CurveVelA\vmodel46.npy
.\data\CurveVelA\seismic47.npy .\data\CurveVelA\vmodel47.npy
.\data\CurveVelA\seismic48.npy .\data\CurveVelA\vmodel48.npy
test
.\data\CurveVelA\seismic49.npy .\data\CurveVelA\vmodel49.npy
.\data\CurveVelA\seismic50.npy .\data\CurveVelA\vmodel50.npy
.\data\CurveVelA\seismic51.npy .\data\CurveVelA\vmodel51.npy
.\data\CurveVelA\seismic52.npy .\data\CurveVelA\vmodel52.npy
.\data\CurveVelA\seismic53.npy .\data\CurveVelA\vmodel53.npy
.\data\CurveVelA\seismic54.npy .\data\CurveVelA\vmodel54.npy
.\data\CurveVelA\seismic55.npy .\data\CurveVelA\vmodel55.npy
.\data\CurveVelA\seismic56.npy .\data\CurveVelA\vmodel56.npy
.\data\CurveVelA\seismic57.npy .\data\CurveVelA\vmodel57.npy
.\data\CurveVelA\seismic58.npy .\data\CurveVelA\vmodel58.npy
.\data\CurveVelA\seismic59.npy .\data\CurveVelA\vmodel59.npy
.\data\CurveVelA\seismic60.npy .\data\CurveVelA\vmodel60.npy
