svlc
train
.\data\FlatFaultA\seismic1.npy .\data\FlatFaultA\vmodel1.npy .\data\FlatFaultA\lvmodel1.npy .\data\FlatFaultA\cvmodel1.npy
.\data\FlatFaultA\seismic2.npy .\data\FlatFaultA\vmodel2.npy .\data\FlatFaultA\lvmodel2.npy .\data\FlatFaultA\cvmodel2.npy
.\data\FlatFaultA\seismic3.npy .\data\FlatFaultA\vmodel3.npy .\data\FlatFaultA\lvmodel3.npy .\data\FlatFaultA\cvmodel3.npy
.\data\FlatFaultA\seismic4.npy .\data\FlatFaultA\vmodel4.npy .\data\FlatFaultA\lvmodel4.npy .\data\FlatFaultA\cvmodel4.npy
.\data\FlatFaultA\seismic5.npy .\data\FlatFaultA\vmodel5.npy .\data\FlatFaultA\lvmodel5.npy .\data\FlatFaultA\cvmodel5.npy
.\data\FlatFaultA\seismic6.npy .\data\FlatFaultA\vmodel6.npy .\data\FlatFaultA\lvmodel6.npy .\data\FlatFaultA\cvmodel6.npy
.\data\FlatFaultA\seismic7.npy .\data\FlatFaultA\vmodel7.npy .\data\FlatFaultA\lvmodel7.npy .\data\FlatFaultA\cvmodel7.npy
.\data\FlatFaultA\seismic8.npy .\data\FlatFaultA\vmodel8.npy .\data\FlatFaultA\lvmodel8.npy .\data\FlatFaultA\cvmodel8.npy
.\data\FlatFaultA\seismic9.npy .\data\FlatFaultA\vmodel9.npy .\data\FlatFaultA\lvmodel9.npy .\data\FlatFaultA\cvmodel9.npy
.\data\FlatFaultA\seismic10.npy .\data\FlatFaultA\vmodel10.npy .\data\FlatFaultA\lvmodel10.npy .\data\FlatFaultA\cvmodel10.npy
.\data\FlatFaultA\seismic11.npy .\data\FlatFaultA\vmodel11.npy .\data\FlatFaultA\lvmodel11.npy .\data\FlatFaultA\cvmodel11.npy
.\data\FlatFaultA\seismic12.npy .\data\FlatFaultA\vmodel12.npy .\data\FlatFaultA\lvmodel12.npy .\data\FlatFaultA\cvmodel12.npy
.\data\FlatFaultA\seismic13.npy .\data\FlatFaultA\vmodel13.npy .\data\FlatFaultA\lvmodel13.npy .\data\FlatFaultA\cvmodel13.npy
.\data\FlatFaultA\seismic14.npy .\data\FlatFaultA\vmodel14.npy .\data\FlatFaultA\lvmodel14.npy .\data\FlatFaultA\cvmodel14.npy
.\data\FlatFaultA\seismic15.npy .\data\FlatFaultA\vmodel15.npy .\data\FlatFaultA\lvmodel15.npy .\data\FlatFaultA\cvmodel15.npy
.\data\FlatFaultA\seismic16.npy .\data\FlatFaultA\vmodel16.npy .\data\FlatFaultA\lvmodel16.npy .\data\FlatFaultA\cvmodel16.npy
.\data\FlatFaultA\seismic17.npy .\data\FlatFaultA\vmodel17.npy .\data\FlatFaultA\lvmodel17.npy .\data\FlatFaultA\cvmodel17.npy
.\data\FlatFaultA\seismic18.npy .\data\FlatFaultA\vmodel18.npy .\data\FlatFaultA\lvmodel18.npy .\data\FlatFaultA\cvmodel18.npy
.\data\FlatFaultA\seismic19.npy .\data\FlatFaultA\vmodel19.npy .\data\FlatFaultA\lvmodel19.npy .\data\FlatFaultA\cvmodel19.npy
.\data\FlatFaultA\seismic20.npy .\data\FlatFaultA\vmodel20.npy .\data\FlatFaultA\lvmodel20.npy .\data\FlatFaultA\cvmodel20.npy
.\data\FlatFaultA\seismic21.npy .\data\FlatFaultA\vmodel21.npy .\data\FlatFaultA\lvmodel21.npy .\data\FlatFaultA\cvmodel21.npy
.\data\FlatFaultA\seismic22.npy .\data\FlatFaultA\vmodel22.npy .\data\FlatFaultA\lvmodel22.npy .\data\FlatFaultA\cvmodel22.npy
.\data\FlatFaultA\seismic23.npy .\data\FlatFaultA\vmodel23.npy .\data\FlatFaultA\lvmodel23.npy .\data\FlatFaultA\cvmodel23.npy
.\data\FlatFaultA\seismic24.npy .\data\FlatFaultA\vmodel24.npy .\data\FlatFaultA\lvmodel24.npy .\data\FlatFaultA\cvmodel24.npy
.\data\FlatFaultA\seismic25.npy .\data\FlatFaultA\vmodel25.npy .\data\FlatFaultA\lvmodel25.npy .\data\FlatFaultA\cvmodel25.npy
.\data\FlatFaultA\seismic26.npy .\data\FlatFaultA\vmodel26.npy .\data\FlatFaultA\lvmodel26.npy .\data\FlatFaultA\cvmodel26.npy
.\data\FlatFaultA\seismic27.npy .\data\FlatFaultA\vmodel27.npy .\data\FlatFaultA\lvmodel27.npy .\data\FlatFaultA\cvmodel27.npy
.\data\FlatFaultA\seismic28.npy .\data\FlatFaultA\vmodel28.npy .\data\FlatFaultA\lvmodel28.npy .\data\FlatFaultA\cvmodel28.npy
.\data\FlatFaultA\seismic29.npy .\data\FlatFaultA\vmodel29.npy .\data\FlatFaultA\lvmodel29.npy .\data\FlatFaultA\cvmodel29.npy
.\data\FlatFaultA\seismic30.npy .\data\FlatFaultA\vmodel30.npy .\data\FlatFaultA\lvmodel30.npy .\data\FlatFaultA\cvmodel30.npy
.\data\FlatFaultA\seismic31.npy .\data\FlatFaultA\vmodel31.npy .\data\FlatFaultA\lvmodel31.npy .\data\FlatFaultA\cvmodel31.npy
.\data\FlatFaultA\seismic32.npy .\data\FlatFaultA\vmodel32.npy .\data\FlatFaultA\lvmodel32.npy .\data\FlatFaultA\cvmodel32.npy
.\data\FlatFaultA\seismic33.npy .\data\FlatFaultA\vmodel33.npy .\data\FlatFaultA\lvmodel33.npy .\data\FlatFaultA\cvmodel33.npy
.\data\FlatFaultA\seismic34.npy .\data\FlatFaultA\vmodel34.npy .\data\FlatFaultA\lvmodel34.npy .\data\FlatFaultA\cvmodel34.npy
.\data\FlatFaultA\seismic35.npy .\data\FlatFaultA\vmodel35.npy .\data\FlatFaultA\lvmodel35.npy .\data\FlatFaultA\cvmodel35.npy
.\data\FlatFaultA\seismic36.npy .\data\FlatFaultA\vmodel36.npy .\data\FlatFaultA\lvmodel36.npy .\data\FlatFaultA\cvmodel36.npy
.\data\FlatFaultA\seismic37.npy .\data\FlatFaultA\vmodel37.npy .\data\FlatFaultA\lvmodel37.npy .\data\FlatFaultA\cvmodel37.npy
.\data\FlatFaultA\seismic38.npy .\data\FlatFaultA\vmodel38.npy .\data\FlatFaultA\lvmodel38.npy .\data\FlatFaultA\cvmodel38.npy
.\data\FlatFaultA\seismic39.npy .\data\FlatFaultA\vmodel39.npy .\data\FlatFaultA\lvmodel39.npy .\data\FlatFaultA\cvmodel39.npy
.\data\FlatFaultA\seismic40.npy .\data\FlatFaultA\vmodel40.npy .\data\FlatFaultA\lvmodel40.npy .\data\FlatFaultA\cvmodel40.npy
.\data\FlatFaultA\seismic41.npy .\data\FlatFaultA\vmodel41.npy .\data\FlatFaultA\lvmodel41.npy .\data\FlatFaultA\cvmodel41.npy
.\data\FlatFaultA\seismic42.npy .\data\FlatFaultA\vmodel42.npy .\data\FlatFaultA\lvmodel42.npy .\data\FlatFaultA\cvmodel42.npy
.\data\FlatFaultA\seismic43.npy .\data\FlatFaultA\vmodel43.npy .\data\FlatFaultA\lvmodel43.npy .\data\FlatFaultA\cvmodel43.npy
.\data\FlatFaultA\seismic44.npy .\data\FlatFaultA\vmodel44.npy .\data\FlatFaultA\lvmodel44.npy .\data\FlatFaultA\cvmodel44.npy
.\data\FlatFaultA\seismic45.npy .\data\FlatFaultA\vmodel45.npy .\data\FlatFaultA\lvmodel45.npy .\data\FlatFaultA\cvmodel45.npy
.\data\FlatFaultA\seismic46.npy .\data\FlatFaultA\vmodel46.npy .\data\FlatFaultA\lvmodel46.npy .\data\FlatFaultA\cvmodel46.npy
.\data\FlatFaultA\seismic47.npy .\data\FlatFaultA\vmodel47.npy .\data\FlatFaultA\lvmodel47.npy .\data\FlatFaultA\cvmodel47.npy
.\data\FlatFaultA\seismic48.npy .\data\FlatFaultA\vmodel48.npy .\data\FlatFaultA\lvmodel48.npy .\data\FlatFaultA\cvmodel48.npy
.\data\FlatFaultA\seismic49.npy .\data\FlatFaultA\vmodel49.npy .\data\FlatFaultA\lvmodel49.npy .\data\FlatFaultA\cvmodel49.npy
.\data\FlatFaultA\seismic50.npy .\data\FlatFaultA\vmodel50.npy .\data\FlatFaultA\lvmodel50.npy .\data\FlatFaultA\cvmodel50.npy
.\data\FlatFaultA\seismic51.npy .\data\FlatFaultA\vmodel51.npy .\data\FlatFaultA\lvmodel51.npy .\data\FlatFaultA\cvmodel51.npy
.\data\FlatFaultA\seismic52.npy .\data\FlatFaultA\vmodel52.npy .\data\FlatFaultA\lvmodel52.npy .\data\FlatFaultA\cvmodel52.npy
.\data\FlatFaultA\seismic53.npy .\data\FlatFaultA\vmodel53.npy .\data\FlatFaultA\lvmodel53.npy .\data\FlatFaultA\cvmodel53.npy
